"","x"
"1",TRUE
"2",TRUE
"3",TRUE
"4",TRUE
"5",TRUE
"6",TRUE
"7",TRUE
"8",TRUE
"9",TRUE
"10",TRUE
"11",TRUE
"12",TRUE
"13",TRUE
"14",TRUE
"15",TRUE
"16",TRUE
"17",TRUE
"18",TRUE
"19",TRUE
"20",TRUE
"21",TRUE
"22",TRUE
"23",TRUE
"24",TRUE
"25",TRUE
"26",TRUE
"27",TRUE
"28",TRUE
"29",TRUE
"30",TRUE
"31",TRUE
"32",TRUE
"33",TRUE
"34",TRUE
"35",TRUE
"36",TRUE
"37",TRUE
"38",TRUE
"39",TRUE
"40",TRUE
"41",TRUE
"42",TRUE
"43",TRUE
"44",TRUE
"45",TRUE
"46",TRUE
"47",TRUE
"48",TRUE
"49",TRUE
"50",TRUE
"51",FALSE
"52",FALSE
"53",FALSE
"54",FALSE
"55",FALSE
"56",FALSE
"57",FALSE
"58",FALSE
"59",FALSE
"60",FALSE
"61",FALSE
"62",FALSE
"63",FALSE
"64",FALSE
"65",FALSE
"66",FALSE
"67",FALSE
"68",FALSE
"69",FALSE
"70",FALSE
"71",FALSE
"72",FALSE
"73",FALSE
"74",FALSE
"75",FALSE
"76",FALSE
"77",FALSE
"78",FALSE
"79",FALSE
"80",FALSE
"81",FALSE
"82",FALSE
"83",FALSE
"84",FALSE
"85",FALSE
"86",FALSE
"87",FALSE
"88",FALSE
"89",FALSE
"90",FALSE
"91",FALSE
"92",FALSE
"93",FALSE
"94",FALSE
"95",FALSE
"96",FALSE
"97",FALSE
"98",FALSE
"99",FALSE
"100",FALSE
"101",TRUE
"102",TRUE
"103",TRUE
"104",TRUE
"105",TRUE
"106",TRUE
"107",TRUE
"108",TRUE
"109",TRUE
"110",TRUE
"111",TRUE
"112",TRUE
"113",TRUE
"114",TRUE
"115",TRUE
"116",TRUE
"117",TRUE
"118",TRUE
"119",TRUE
"120",TRUE
"121",TRUE
"122",TRUE
"123",TRUE
"124",TRUE
"125",TRUE
"126",TRUE
"127",TRUE
"128",TRUE
"129",TRUE
"130",TRUE
"131",TRUE
"132",TRUE
"133",TRUE
"134",TRUE
"135",TRUE
"136",TRUE
"137",TRUE
"138",TRUE
"139",TRUE
"140",TRUE
"141",TRUE
"142",TRUE
"143",TRUE
"144",TRUE
"145",TRUE
"146",TRUE
"147",TRUE
"148",TRUE
"149",TRUE
"150",TRUE
